assigned_by,origin_station,destination_station,mission_type,crew_status,navigation_mode,car_color,last_telemetry_message,ship_serial_number
Elia Vorn,Vega Spire,Cryon Reach,commute,automated,auto,DodgerBlue,Clear path confirmed. Continuing cruise.,CXS-8457-GZ
Commander Yulo,Helion Hub,Lunaris Port,commute,automated,auto,DarkSlateGray,Minor vibration detected. Monitoring systems.,CXS-3734-IB
Axel Orov,Helion Hub,Vega Spire,commute,automated,auto,SkyBlue,Power levels nominal. Adjusting trajectory.,CXS-2889-LR
Dr. Calix Renner,Cryon Reach,Cerebra Ring,commute,automated,auto,DarkKhaki,Power levels nominal. Adjusting trajectory.,CXS-1201-WQ
Commander Yulo,Cryon Reach,Lunaris Port,commute,automated,auto,DarkRed,Re-routing due to unstable path.,CXS-7274-JC
Dr. Calix Renner,Orryx Haven,Vega Spire,commute,automated,auto,DodgerBlue,Minor vibration detected. Monitoring systems.,CXS-7870-IO
Tamsin Ryx,Cryon Reach,Orryx Haven,commute,automated,auto,Thistle,Clear path confirmed. Continuing cruise.,CXS-6241-EN
Elia Vorn,Zenthar Relay,Thalos Crossing,commute,automated,auto,DarkGoldenRod,Minor vibration detected. Monitoring systems.,CXS-7108-HO
Dr. Calix Renner,Vega Spire,Helion Hub,commute,automated,auto,MediumVioletRed,Fuel low. Navigating around debris.,CXS-4656-AN
Elia Vorn,Lunaris Port,Zenthar Relay,commute,automated,auto,CadetBlue,Clear path confirmed. Continuing cruise.,CXS-5625-MQ
Elia Vorn,Zenthar Relay,Orryx Haven,commute,automated,auto,Navy,Minor vibration detected. Monitoring systems.,CXS-8483-HM
Tamsin Ryx,Lunaris Port,Cryon Reach,commute,automated,auto,Cyan,Re-routing due to unstable path.,CXS-5979-LH
Captain Kael,Cryon Reach,Zenthar Relay,commute,automated,auto,Black,Minor vibration detected. Monitoring systems.,CXS-9083-KD
Tamsin Ryx,Cryon Reach,Cerebra Ring,commute,automated,auto,MediumSeaGreen,Fuel low. Navigating around debris.,CXS-1104-ZE
Tamsin Ryx,Cerebra Ring,Lunaris Port,commute,automated,auto,DarkSlateGray,Minor vibration detected. Monitoring systems.,CXS-6675-BJ
Dr. Calix Renner,Lunaris Port,Cryon Reach,commute,automated,auto,SeaShell,Clear path confirmed. Continuing cruise.,CXS-6038-WE
Tamsin Ryx,Vega Spire,Orryx Haven,commute,automated,auto,SeaShell,Clear path confirmed. Continuing cruise.,CXS-9061-OT
Axel Orov,Lunaris Port,Orryx Haven,commute,automated,auto,AntiqueWhite,Power levels nominal. Adjusting trajectory.,CXS-1719-CA
Zara Strix,Cryon Reach,Thalos Crossing,commute,automated,auto,LightCyan,Re-routing due to unstable path.,CXS-8511-GE
Elia Vorn,Vega Spire,Helion Hub,commute,automated,auto,Wheat,Minor vibration detected. Monitoring systems.,CXS-3187-ND
Dr. Calix Renner,Cerebra Ring,Lunaris Port,commute,automated,auto,LightSlateGray,Clear path confirmed. Continuing cruise.,CXS-3141-HJ
Axel Orov,Cryon Reach,Orryx Haven,commute,automated,auto,DarkRed,Re-routing due to unstable path.,CXS-7438-BH
Commander Yulo,Helion Hub,Orryx Haven,commute,automated,auto,PeachPuff,Re-routing due to unstable path.,CXS-4827-UZ
Marshal Keir,Vega Spire,Orryx Haven,commute,automated,auto,Salmon,Minor vibration detected. Monitoring systems.,CXS-2785-CD
Marshal Keir,Orryx Haven,Lunaris Port,commute,automated,auto,SpringGreen,Clear path confirmed. Continuing cruise.,CXS-8635-TR
Elia Vorn,Helion Hub,Cryon Reach,commute,automated,auto,Azure,Minor vibration detected. Monitoring systems.,CXS-6870-UQ
Axel Orov,Cryon Reach,Zenthar Relay,commute,automated,auto,LawnGreen,Clear path confirmed. Continuing cruise.,CXS-5341-WE
Marshal Keir,Vega Spire,Lunaris Port,commute,automated,auto,LightSteelBlue,Re-routing due to unstable path.,CXS-1660-NA
Captain Kael,Cryon Reach,Thalos Crossing,commute,automated,auto,MidnightBlue,Fuel low. Navigating around debris.,CXS-2494-HS
Zara Strix,Cryon Reach,Orryx Haven,commute,automated,auto,PapayaWhip,Minor vibration detected. Monitoring systems.,CXS-1802-FV
Marshal Keir,Zenthar Relay,Orryx Haven,commute,automated,auto,DarkBlue,Power levels nominal. Adjusting trajectory.,CXS-7625-QL
Tamsin Ryx,Thalos Crossing,Zenthar Relay,commute,automated,auto,CornflowerBlue,Power levels nominal. Adjusting trajectory.,CXS-8570-QR
Marshal Keir,Vega Spire,Thalos Crossing,commute,automated,auto,Tan,Power levels nominal. Adjusting trajectory.,CXS-1195-ZQ
Tamsin Ryx,Lunaris Port,Thalos Crossing,commute,automated,auto,Beige,Fuel low. Navigating around debris.,CXS-4246-MP
Elia Vorn,Cerebra Ring,Orryx Haven,commute,automated,auto,Brown,Minor vibration detected. Monitoring systems.,CXS-5240-UM
Elia Vorn,Vega Spire,Lunaris Port,commute,automated,auto,Navy,Fuel low. Navigating around debris.,CXS-8265-IX
Captain Kael,Orryx Haven,Lunaris Port,commute,automated,auto,Azure,Power levels nominal. Adjusting trajectory.,CXS-1699-LZ
Marshal Keir,Thalos Crossing,Lunaris Port,commute,automated,auto,CornflowerBlue,Minor vibration detected. Monitoring systems.,CXS-8096-LH
Dr. Calix Renner,Cerebra Ring,Cryon Reach,commute,automated,auto,DarkKhaki,Clear path confirmed. Continuing cruise.,CXS-7990-YS
Tamsin Ryx,Orryx Haven,Cryon Reach,commute,automated,auto,MediumSeaGreen,Fuel low. Navigating around debris.,CXS-5505-EB
Marshal Keir,Zenthar Relay,Cryon Reach,commute,automated,auto,MidnightBlue,Power levels nominal. Adjusting trajectory.,CXS-5026-RK
Zara Strix,Zenthar Relay,Cryon Reach,commute,automated,auto,ForestGreen,Minor vibration detected. Monitoring systems.,CXS-8848-YV
Axel Orov,Lunaris Port,Vega Spire,commute,automated,auto,SandyBrown,Clear path confirmed. Continuing cruise.,CXS-3248-WP
Tamsin Ryx,Cerebra Ring,Vega Spire,commute,automated,auto,Gainsboro,Minor vibration detected. Monitoring systems.,CXS-1319-ZE
Captain Kael,Cerebra Ring,Thalos Crossing,commute,automated,auto,Coral,Clear path confirmed. Continuing cruise.,CXS-9921-WY
Captain Kael,Thalos Crossing,Orryx Haven,commute,automated,auto,Salmon,Clear path confirmed. Continuing cruise.,CXS-5430-BJ
Captain Kael,Orryx Haven,Lunaris Port,commute,automated,auto,Green,Minor vibration detected. Monitoring systems.,CXS-4588-BZ
Axel Orov,Lunaris Port,Thalos Crossing,commute,automated,auto,Green,Power levels nominal. Adjusting trajectory.,CXS-8728-BK
Tamsin Ryx,Helion Hub,Thalos Crossing,commute,automated,auto,Magenta,Fuel low. Navigating around debris.,CXS-2640-QM
Tamsin Ryx,Cryon Reach,Cerebra Ring,commute,automated,auto,YellowGreen,Re-routing due to unstable path.,CXS-9743-PI
Tamsin Ryx,Lunaris Port,Thalos Crossing,commute,automated,auto,Blue,Minor vibration detected. Monitoring systems.,CXS-7363-YU
Marshal Keir,Helion Hub,Thalos Crossing,commute,automated,auto,Gold,Fuel low. Navigating around debris.,CXS-4875-JL
Captain Kael,Helion Hub,Thalos Crossing,commute,automated,auto,BurlyWood,Minor vibration detected. Monitoring systems.,CXS-1462-UK
Marshal Keir,Helion Hub,Zenthar Relay,commute,automated,auto,LightPink,Minor vibration detected. Monitoring systems.,CXS-4084-DZ
Axel Orov,Thalos Crossing,Zenthar Relay,commute,automated,auto,NavajoWhite,Fuel low. Navigating around debris.,CXS-9035-NM
Dr. Calix Renner,Lunaris Port,Vega Spire,commute,automated,auto,Purple,Fuel low. Navigating around debris.,CXS-4584-MK
Commander Yulo,Lunaris Port,Helion Hub,commute,automated,auto,GhostWhite,Power levels nominal. Adjusting trajectory.,CXS-6435-PW
Marshal Keir,Cryon Reach,Thalos Crossing,commute,automated,auto,SpringGreen,Re-routing due to unstable path.,CXS-3907-LZ
Dr. Calix Renner,Helion Hub,Lunaris Port,commute,automated,auto,Tomato,Fuel low. Navigating around debris.,CXS-3320-IZ
Captain Kael,Vega Spire,Thalos Crossing,commute,automated,auto,DarkBlue,Power levels nominal. Adjusting trajectory.,CXS-7120-XN
Elia Vorn,Cerebra Ring,Zenthar Relay,commute,automated,auto,Cyan,Re-routing due to unstable path.,CXS-5944-NT
Marshal Keir,Helion Hub,Vega Spire,commute,automated,auto,Gainsboro,Clear path confirmed. Continuing cruise.,CXS-8982-RJ
Captain Kael,Helion Hub,Vega Spire,commute,automated,auto,MediumBlue,Fuel low. Navigating around debris.,CXS-3872-DC
Axel Orov,Cerebra Ring,Orryx Haven,commute,automated,auto,MediumOrchid,Fuel low. Navigating around debris.,CXS-3911-VJ
Zara Strix,Lunaris Port,Cerebra Ring,commute,automated,auto,Linen,Minor vibration detected. Monitoring systems.,CXS-1530-OT
Captain Kael,Orryx Haven,Helion Hub,commute,automated,auto,Pink,Minor vibration detected. Monitoring systems.,CXS-4619-FW
Marshal Keir,Vega Spire,Zenthar Relay,commute,automated,auto,Red,Re-routing due to unstable path.,CXS-2274-LO
Captain Kael,Cryon Reach,Orryx Haven,commute,automated,auto,BlueViolet,Fuel low. Navigating around debris.,CXS-2453-XL
Dr. Calix Renner,Helion Hub,Cryon Reach,commute,automated,auto,PowderBlue,Re-routing due to unstable path.,CXS-4435-IU
Elia Vorn,Cryon Reach,Cerebra Ring,commute,automated,auto,Chartreuse,Re-routing due to unstable path.,CXS-5205-CV
Dr. Calix Renner,Vega Spire,Cerebra Ring,commute,automated,auto,PaleGreen,Power levels nominal. Adjusting trajectory.,CXS-7323-LQ
Zara Strix,Thalos Crossing,Helion Hub,commute,automated,auto,DimGray,Fuel low. Navigating around debris.,CXS-7783-AE
Captain Kael,Thalos Crossing,Cryon Reach,commute,automated,auto,Purple,Minor vibration detected. Monitoring systems.,CXS-7149-BE
Commander Yulo,Vega Spire,Thalos Crossing,commute,automated,auto,CornflowerBlue,Minor vibration detected. Monitoring systems.,CXS-4695-HY
Elia Vorn,Orryx Haven,Zenthar Relay,commute,automated,auto,Moccasin,Power levels nominal. Adjusting trajectory.,CXS-5831-LM
Axel Orov,Lunaris Port,Cryon Reach,commute,automated,auto,BlanchedAlmond,Power levels nominal. Adjusting trajectory.,CXS-2215-TE
Zara Strix,Helion Hub,Vega Spire,commute,automated,auto,RoyalBlue,Fuel low. Navigating around debris.,CXS-2228-LL
Commander Yulo,Vega Spire,Cryon Reach,commute,automated,auto,Red,Power levels nominal. Adjusting trajectory.,CXS-8066-YC
Zara Strix,Orryx Haven,Helion Hub,commute,automated,auto,DarkSlateGray,Fuel low. Navigating around debris.,CXS-1877-QL
Tamsin Ryx,Vega Spire,Cryon Reach,commute,automated,auto,Orchid,Fuel low. Navigating around debris.,CXS-7705-KU
Axel Orov,Zenthar Relay,Cerebra Ring,commute,automated,auto,LightSeaGreen,Re-routing due to unstable path.,CXS-4891-HD
Zara Strix,Vega Spire,Lunaris Port,commute,automated,auto,Bisque,Minor vibration detected. Monitoring systems.,CXS-9043-XF
Captain Kael,Orryx Haven,Lunaris Port,commute,automated,auto,SpringGreen,Power levels nominal. Adjusting trajectory.,CXS-8005-QM
Commander Yulo,Vega Spire,Cryon Reach,commute,automated,auto,DarkOrchid,Fuel low. Navigating around debris.,CXS-2589-IY
Marshal Keir,Lunaris Port,Orryx Haven,commute,automated,auto,LightGoldenRodYellow,Re-routing due to unstable path.,CXS-2342-WO
Elia Vorn,Thalos Crossing,Cerebra Ring,commute,automated,auto,HotPink,Re-routing due to unstable path.,CXS-7512-TJ
Axel Orov,Thalos Crossing,Cryon Reach,commute,automated,auto,SlateGray,Power levels nominal. Adjusting trajectory.,CXS-9914-GD
Captain Kael,Cerebra Ring,Vega Spire,commute,automated,auto,DarkSlateBlue,Clear path confirmed. Continuing cruise.,CXS-7052-CO
Dr. Calix Renner,Orryx Haven,Zenthar Relay,commute,automated,auto,ForestGreen,Re-routing due to unstable path.,CXS-8204-WO
Tamsin Ryx,Thalos Crossing,Orryx Haven,commute,automated,auto,DarkCyan,Re-routing due to unstable path.,CXS-2009-ZV
Elia Vorn,Orryx Haven,Thalos Crossing,commute,automated,auto,MediumAquaMarine,Power levels nominal. Adjusting trajectory.,CXS-6632-VL
Tamsin Ryx,Cerebra Ring,Thalos Crossing,commute,automated,auto,Coral,Minor vibration detected. Monitoring systems.,CXS-1999-RR
Zara Strix,Cerebra Ring,Thalos Crossing,commute,automated,auto,LightSteelBlue,Minor vibration detected. Monitoring systems.,CXS-8779-JF
Axel Orov,Cryon Reach,Zenthar Relay,commute,automated,auto,ForestGreen,Power levels nominal. Adjusting trajectory.,CXS-7468-ZL
Marshal Keir,Lunaris Port,Helion Hub,commute,automated,auto,Teal,Power levels nominal. Adjusting trajectory.,CXS-8357-HD
Tamsin Ryx,Orryx Haven,Vega Spire,commute,automated,auto,Green,Fuel low. Navigating around debris.,CXS-3067-ZE
Elia Vorn,Lunaris Port,Zenthar Relay,commute,automated,auto,LavenderBlush,Clear path confirmed. Continuing cruise.,CXS-4308-ZP
Axel Orov,Orryx Haven,Thalos Crossing,commute,automated,auto,Bisque,Re-routing due to unstable path.,CXS-2097-LR
Zara Strix,Vega Spire,Zenthar Relay,commute,automated,auto,NavajoWhite,Minor vibration detected. Monitoring systems.,CXS-6343-OZ
Commander Yulo,Zenthar Relay,Helion Hub,commute,automated,auto,DarkSeaGreen,Power levels nominal. Adjusting trajectory.,CXS-9561-TC
Zara Strix,Cerebra Ring,Lunaris Port,commute,automated,auto,Coral,Fuel low. Navigating around debris.,CXS-3428-JM
Elia Vorn,Vega Spire,Lunaris Port,commute,automated,auto,Silver,Re-routing due to unstable path.,CXS-9775-QN
Axel Orov,Helion Hub,Cryon Reach,commute,automated,auto,PaleTurquoise,Clear path confirmed. Continuing cruise.,CXS-8955-SC
Marshal Keir,Thalos Crossing,Lunaris Port,commute,automated,auto,DarkSalmon,Re-routing due to unstable path.,CXS-7602-KU
Zara Strix,Orryx Haven,Helion Hub,commute,automated,auto,Cornsilk,Power levels nominal. Adjusting trajectory.,CXS-7484-OO
Tamsin Ryx,Helion Hub,Cerebra Ring,commute,automated,auto,Tomato,Power levels nominal. Adjusting trajectory.,CXS-8785-LE
Dr. Calix Renner,Zenthar Relay,Orryx Haven,commute,automated,auto,Gainsboro,Re-routing due to unstable path.,CXS-5965-YE
Commander Yulo,Zenthar Relay,Orryx Haven,commute,automated,auto,Plum,Power levels nominal. Adjusting trajectory.,CXS-4734-QB
Commander Yulo,Orryx Haven,Cryon Reach,commute,automated,auto,DarkRed,Re-routing due to unstable path.,CXS-5414-QE
Elia Vorn,Cerebra Ring,Zenthar Relay,commute,automated,auto,LimeGreen,Fuel low. Navigating around debris.,CXS-8237-FF
Zara Strix,Cryon Reach,Thalos Crossing,commute,automated,auto,MediumBlue,Clear path confirmed. Continuing cruise.,CXS-9462-WH
Dr. Calix Renner,Helion Hub,Thalos Crossing,commute,automated,auto,MediumTurquoise,Minor vibration detected. Monitoring systems.,CXS-3604-QJ
Zara Strix,Vega Spire,Cryon Reach,commute,automated,auto,Cyan,Fuel low. Navigating around debris.,CXS-9589-IG
Tamsin Ryx,Lunaris Port,Orryx Haven,commute,automated,auto,LightSalmon,Fuel low. Navigating around debris.,CXS-1944-EU
Commander Yulo,Cryon Reach,Lunaris Port,commute,automated,auto,LimeGreen,Power levels nominal. Adjusting trajectory.,CXS-6904-TR
Captain Kael,Cryon Reach,Orryx Haven,commute,automated,auto,DarkGoldenRod,Clear path confirmed. Continuing cruise.,CXS-9275-QU
Elia Vorn,Cerebra Ring,Helion Hub,commute,automated,auto,FloralWhite,Power levels nominal. Adjusting trajectory.,CXS-4963-SS
Commander Yulo,Helion Hub,Cryon Reach,commute,automated,auto,DeepSkyBlue,Fuel low. Navigating around debris.,CXS-8775-FV
Marshal Keir,Helion Hub,Orryx Haven,commute,automated,auto,MediumSlateBlue,Re-routing due to unstable path.,CXS-2480-SB
Zara Strix,Zenthar Relay,Lunaris Port,commute,automated,auto,Black,Power levels nominal. Adjusting trajectory.,CXS-3669-CB
Tamsin Ryx,Cryon Reach,Thalos Crossing,commute,automated,auto,LightGray,Fuel low. Navigating around debris.,CXS-4387-UG
Zara Strix,Zenthar Relay,Cerebra Ring,commute,automated,auto,PapayaWhip,Minor vibration detected. Monitoring systems.,CXS-1328-TU
Marshal Keir,Lunaris Port,Zenthar Relay,commute,automated,auto,Black,Fuel low. Navigating around debris.,CXS-1138-PU
Axel Orov,Cryon Reach,Orryx Haven,commute,automated,auto,YellowGreen,Re-routing due to unstable path.,CXS-7943-JU
Captain Kael,Cerebra Ring,Thalos Crossing,commute,automated,auto,LimeGreen,Clear path confirmed. Continuing cruise.,CXS-5128-PH
Axel Orov,Cryon Reach,Zenthar Relay,commute,automated,auto,PaleGreen,Minor vibration detected. Monitoring systems.,CXS-7506-JO
Captain Kael,Vega Spire,Lunaris Port,commute,automated,auto,Cornsilk,Minor vibration detected. Monitoring systems.,CXS-5631-WB
Elia Vorn,Zenthar Relay,Cerebra Ring,commute,automated,auto,DimGray,Clear path confirmed. Continuing cruise.,CXS-2045-ON
Captain Kael,Helion Hub,Orryx Haven,commute,automated,auto,SkyBlue,Re-routing due to unstable path.,CXS-5278-OG
Marshal Keir,Zenthar Relay,Vega Spire,commute,automated,auto,MediumSpringGreen,Minor vibration detected. Monitoring systems.,CXS-4937-TE
Zara Strix,Lunaris Port,Thalos Crossing,commute,automated,auto,Maroon,Re-routing due to unstable path.,CXS-3292-WK
Commander Yulo,Lunaris Port,Cerebra Ring,commute,automated,auto,MediumTurquoise,Re-routing due to unstable path.,CXS-5250-ME
Zara Strix,Cerebra Ring,Cryon Reach,commute,automated,auto,NavajoWhite,Power levels nominal. Adjusting trajectory.,CXS-4111-QR
Tamsin Ryx,Helion Hub,Cerebra Ring,commute,automated,auto,DarkMagenta,Minor vibration detected. Monitoring systems.,CXS-8794-KH
Axel Orov,Helion Hub,Zenthar Relay,commute,automated,auto,SeaGreen,Fuel low. Navigating around debris.,CXS-3967-DI
Commander Yulo,Zenthar Relay,Lunaris Port,commute,automated,auto,RoyalBlue,Fuel low. Navigating around debris.,CXS-5237-HE
Captain Kael,Orryx Haven,Cerebra Ring,commute,automated,auto,DarkGray,Power levels nominal. Adjusting trajectory.,CXS-4641-BJ
Axel Orov,Helion Hub,Vega Spire,commute,automated,auto,OliveDrab,Clear path confirmed. Continuing cruise.,CXS-6428-TN
Axel Orov,Helion Hub,Orryx Haven,commute,automated,auto,LightBlue,Clear path confirmed. Continuing cruise.,CXS-2929-FK
Elia Vorn,Thalos Crossing,Lunaris Port,commute,automated,auto,Maroon,Clear path confirmed. Continuing cruise.,CXS-4187-GY
Zara Strix,Vega Spire,Thalos Crossing,commute,automated,auto,DimGray,Minor vibration detected. Monitoring systems.,CXS-5888-PQ
Marshal Keir,Cerebra Ring,Lunaris Port,commute,automated,auto,SeaGreen,Fuel low. Navigating around debris.,CXS-4281-PJ
Commander Yulo,Helion Hub,Cryon Reach,commute,automated,auto,SpringGreen,Fuel low. Navigating around debris.,CXS-6183-AC
Elia Vorn,Orryx Haven,Thalos Crossing,commute,automated,auto,OrangeRed,Clear path confirmed. Continuing cruise.,CXS-6449-QO
Dr. Calix Renner,Orryx Haven,Cryon Reach,commute,automated,auto,LawnGreen,Power levels nominal. Adjusting trajectory.,CXS-8406-GS
Marshal Keir,Zenthar Relay,Vega Spire,commute,automated,auto,MidnightBlue,Minor vibration detected. Monitoring systems.,CXS-3595-BB
Elia Vorn,Thalos Crossing,Cerebra Ring,commute,automated,auto,LightSkyBlue,Fuel low. Navigating around debris.,CXS-8105-PT
Zara Strix,Cerebra Ring,Cryon Reach,commute,automated,auto,SeaShell,Clear path confirmed. Continuing cruise.,CXS-7280-JR
Tamsin Ryx,Lunaris Port,Vega Spire,commute,automated,auto,Aqua,Re-routing due to unstable path.,CXS-1230-DN
Tamsin Ryx,Helion Hub,Thalos Crossing,commute,automated,auto,DarkSlateBlue,Power levels nominal. Adjusting trajectory.,CXS-1067-IX
Captain Kael,Cryon Reach,Vega Spire,commute,automated,auto,Moccasin,Re-routing due to unstable path.,CXS-3112-YM
Axel Orov,Vega Spire,Zenthar Relay,commute,automated,auto,Moccasin,Fuel low. Navigating around debris.,CXS-2069-BM
Axel Orov,Lunaris Port,Cryon Reach,commute,automated,auto,CadetBlue,Clear path confirmed. Continuing cruise.,CXS-9524-SR
Marshal Keir,Helion Hub,Cryon Reach,commute,automated,auto,GoldenRod,Re-routing due to unstable path.,CXS-9031-LR
Tamsin Ryx,Helion Hub,Thalos Crossing,commute,automated,auto,LightSlateGray,Fuel low. Navigating around debris.,CXS-7609-CM
Tamsin Ryx,Lunaris Port,Orryx Haven,commute,automated,auto,Tan,Fuel low. Navigating around debris.,CXS-4460-OY
Marshal Keir,Lunaris Port,Helion Hub,commute,automated,auto,LightSeaGreen,Power levels nominal. Adjusting trajectory.,CXS-7006-TV
Axel Orov,Lunaris Port,Zenthar Relay,commute,automated,auto,DarkOrchid,Minor vibration detected. Monitoring systems.,CXS-1796-ED
Elia Vorn,Lunaris Port,Cerebra Ring,commute,automated,auto,OrangeRed,Power levels nominal. Adjusting trajectory.,CXS-1790-LZ
Commander Yulo,Vega Spire,Zenthar Relay,commute,automated,auto,MediumSlateBlue,Clear path confirmed. Continuing cruise.,CXS-3024-RL
Marshal Keir,Zenthar Relay,Cryon Reach,commute,automated,auto,DarkTurquoise,Fuel low. Navigating around debris.,CXS-1152-GT
Elia Vorn,Zenthar Relay,Cryon Reach,commute,automated,auto,Teal,Minor vibration detected. Monitoring systems.,CXS-5423-MQ
Elia Vorn,Orryx Haven,Zenthar Relay,commute,automated,auto,BlueViolet,Minor vibration detected. Monitoring systems.,CXS-2928-BB
Elia Vorn,Zenthar Relay,Lunaris Port,commute,automated,auto,DarkSlateGray,Clear path confirmed. Continuing cruise.,CXS-4254-WK
Axel Orov,Cryon Reach,Thalos Crossing,commute,automated,auto,Sienna,Minor vibration detected. Monitoring systems.,CXS-4304-QO
Zara Strix,Helion Hub,Cerebra Ring,commute,automated,auto,DeepPink,Re-routing due to unstable path.,CXS-3627-TQ
Commander Yulo,Lunaris Port,Helion Hub,commute,automated,auto,DarkSlateGray,Fuel low. Navigating around debris.,CXS-8875-KT
Dr. Calix Renner,Helion Hub,Vega Spire,commute,automated,auto,MediumAquaMarine,Power levels nominal. Adjusting trajectory.,CXS-2458-FM
Commander Yulo,Vega Spire,Thalos Crossing,commute,automated,auto,Lime,Fuel low. Navigating around debris.,CXS-2475-SK
Elia Vorn,Vega Spire,Cerebra Ring,commute,automated,auto,Tan,Re-routing due to unstable path.,CXS-4787-QR
Axel Orov,Thalos Crossing,Orryx Haven,commute,automated,auto,SlateGray,Clear path confirmed. Continuing cruise.,CXS-1820-WS
Marshal Keir,Vega Spire,Thalos Crossing,commute,automated,auto,Lime,Power levels nominal. Adjusting trajectory.,CXS-5760-PA
Captain Kael,Helion Hub,Thalos Crossing,commute,automated,auto,NavajoWhite,Clear path confirmed. Continuing cruise.,CXS-2898-KV
Dr. Calix Renner,Vega Spire,Thalos Crossing,commute,automated,auto,DarkOliveGreen,Power levels nominal. Adjusting trajectory.,CXS-3267-NS
Captain Kael,Orryx Haven,Cryon Reach,commute,automated,auto,Linen,Clear path confirmed. Continuing cruise.,CXS-5395-ZX
Captain Kael,Vega Spire,Cryon Reach,commute,automated,auto,Bisque,Fuel low. Navigating around debris.,CXS-2865-TP
Commander Yulo,Cerebra Ring,Cryon Reach,commute,automated,auto,LightGray,Re-routing due to unstable path.,CXS-7319-UZ
Zara Strix,Thalos Crossing,Cerebra Ring,commute,automated,auto,Khaki,Fuel low. Navigating around debris.,CXS-2852-XB
Dr. Calix Renner,Orryx Haven,Cerebra Ring,commute,automated,auto,Silver,Fuel low. Navigating around debris.,CXS-2699-FQ
Commander Yulo,Cerebra Ring,Zenthar Relay,commute,automated,auto,Olive,Minor vibration detected. Monitoring systems.,CXS-8178-EV
Zara Strix,Orryx Haven,Helion Hub,commute,automated,auto,LemonChiffon,Re-routing due to unstable path.,CXS-1472-BS
Commander Yulo,Orryx Haven,Zenthar Relay,commute,automated,auto,DarkOliveGreen,Power levels nominal. Adjusting trajectory.,CXS-7738-GA
Elia Vorn,Thalos Crossing,Lunaris Port,commute,automated,auto,Purple,Re-routing due to unstable path.,CXS-6148-KN
Tamsin Ryx,Lunaris Port,Cerebra Ring,commute,automated,auto,DeepPink,Re-routing due to unstable path.,CXS-9504-NW
Tamsin Ryx,Vega Spire,Zenthar Relay,commute,automated,auto,GreenYellow,Clear path confirmed. Continuing cruise.,CXS-6664-NQ
Dr. Calix Renner,Cerebra Ring,Vega Spire,commute,automated,auto,SeaShell,Power levels nominal. Adjusting trajectory.,CXS-3571-XX
Commander Yulo,Thalos Crossing,Cerebra Ring,commute,automated,auto,Chocolate,Fuel low. Navigating around debris.,CXS-2226-WE
Tamsin Ryx,Thalos Crossing,Orryx Haven,commute,automated,auto,Tomato,Re-routing due to unstable path.,CXS-5557-GR
Tamsin Ryx,Lunaris Port,Helion Hub,commute,automated,auto,MediumOrchid,Minor vibration detected. Monitoring systems.,CXS-7203-VP
Tamsin Ryx,Cerebra Ring,Thalos Crossing,commute,automated,auto,Violet,Power levels nominal. Adjusting trajectory.,CXS-8521-MK
Commander Yulo,Thalos Crossing,Cerebra Ring,commute,automated,auto,ForestGreen,Power levels nominal. Adjusting trajectory.,CXS-9166-OR
Elia Vorn,Thalos Crossing,Orryx Haven,commute,automated,auto,MediumSpringGreen,Clear path confirmed. Continuing cruise.,CXS-1291-RL
Zara Strix,Vega Spire,Zenthar Relay,commute,automated,auto,LightGray,Power levels nominal. Adjusting trajectory.,CXS-9996-TP
Elia Vorn,Lunaris Port,Thalos Crossing,commute,automated,auto,GoldenRod,Minor vibration detected. Monitoring systems.,CXS-5990-HI
Commander Yulo,Cryon Reach,Cerebra Ring,commute,automated,auto,Lime,Re-routing due to unstable path.,CXS-6953-HJ
Tamsin Ryx,Lunaris Port,Thalos Crossing,commute,automated,auto,LightSlateGray,Clear path confirmed. Continuing cruise.,CXS-6439-WG
Captain Kael,Thalos Crossing,Helion Hub,commute,automated,auto,SlateGray,Clear path confirmed. Continuing cruise.,CXS-2868-KP
Tamsin Ryx,Vega Spire,Thalos Crossing,commute,automated,auto,MediumVioletRed,Power levels nominal. Adjusting trajectory.,CXS-6592-RZ
Axel Orov,Helion Hub,Thalos Crossing,commute,automated,auto,LightSalmon,Minor vibration detected. Monitoring systems.,CXS-9552-JD
Elia Vorn,Helion Hub,Cerebra Ring,commute,automated,auto,YellowGreen,Power levels nominal. Adjusting trajectory.,CXS-3689-MM
Zara Strix,Thalos Crossing,Vega Spire,commute,automated,auto,MediumTurquoise,Power levels nominal. Adjusting trajectory.,CXS-5166-YZ
Elia Vorn,Cryon Reach,Vega Spire,commute,automated,auto,DarkViolet,Clear path confirmed. Continuing cruise.,CXS-4532-JB
Tamsin Ryx,Thalos Crossing,Cerebra Ring,commute,automated,auto,LightSlateGray,Re-routing due to unstable path.,CXS-2765-WC
Elia Vorn,Cerebra Ring,Lunaris Port,commute,automated,auto,MediumTurquoise,Clear path confirmed. Continuing cruise.,CXS-8493-OU
Dr. Calix Renner,Orryx Haven,Zenthar Relay,commute,automated,auto,LightCyan,Minor vibration detected. Monitoring systems.,CXS-1795-XP
Commander Yulo,Cerebra Ring,Thalos Crossing,commute,automated,auto,HotPink,Minor vibration detected. Monitoring systems.,CXS-3903-GR
Marshal Keir,Orryx Haven,Cerebra Ring,commute,automated,auto,LightPink,Power levels nominal. Adjusting trajectory.,CXS-7347-RW
Zara Strix,Helion Hub,Zenthar Relay,commute,automated,auto,LightPink,Clear path confirmed. Continuing cruise.,CXS-5067-ED
